ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
114800.KS,kr_etf,KR,KRX_TRADING_DAYS,4081,4253,0.0,1.067486,0.959558,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
132030.KS,kr_etf,KR,KRX_TRADING_DAYS,3823,3981,0.0,1.0,0.960311,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
153130.KS,kr_etf,KR,KRX_TRADING_DAYS,3474,3618,0.0,0.90871,0.960199,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
207940.KS,kr_stock,KR,KRX_TRADING_DAYS,2338,2386,0.0,0.487795,0.979883,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
261240.KS,kr_etf,KR,KRX_TRADING_DAYS,2279,2354,0.0,0.596129,0.968139,0,0,0,0,WARN,PASS,PASS,False,calendar_coverage_warn,WARN,WARN
AAPL,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
ABBV,us_stock,US,US_MARKET_TRADING_DAYS,3375,3376,0.0,0.690749,0.999704,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
AGG,bond_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.017493,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
AMAT,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
AMD,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,1,12,PASS,WARN,WARN,False,extreme_return_outlier_warn|fx_missing_warn,WARN,WARN
AMZN,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
