ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
AMD,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,1,3627,PASS,WARN,FAIL,True,extreme_return_outlier_warn|fx_missing_fail,FAIL,FAIL
AMZN,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
ASML,us_stock,EU,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
AVGO,us_stock,US,US_MARKET_TRADING_DAYS,4236,4238,0.0,0.866435,0.999528,0,0,0,2974,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
BAC,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
BIL,bond_etf,US,US_MARKET_TRADING_DAYS,4788,4790,0.0,0.996462,0.999582,0,0,0,3526,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
BNB-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,3134,2156,0.0,1.0,1.453618,0,0,2,1299,PASS,WARN,FAIL,True,extreme_return_outlier_warn|fx_missing_fail,FAIL,FAIL
BND,bond_etf,US,US_MARKET_TRADING_DAYS,4823,4825,0.0,1.003746,0.999585,0,0,0,3561,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
BRK-B,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
BTAL,equity_etf,US,US_MARKET_TRADING_DAYS,3706,3709,0.0,0.758028,0.999191,0,0,1,2444,PASS,WARN,FAIL,True,extreme_return_outlier_warn|fx_missing_fail,FAIL,FAIL
BTC-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,4283,2950,0.0,1.366624,1.451864,0,0,0,2448,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
COST,us_stock,US,US_MARKET_TRADING_DAYS,4889,4891,0.0,1.0,0.999591,0,0,0,3627,PASS,PASS,FAIL,True,fx_missing_fail,FAIL,FAIL
